Code,Year,Fertility Rate
AFG,1950,7.248
AFG,1951,7.26
AFG,1952,7.26
AFG,1953,7.266
AFG,1954,7.254
AFG,1955,7.262
AFG,1956,7.269
AFG,1957,7.264
AFG,1958,7.269
AFG,1959,7.276
AFG,1960,7.282
AFG,1961,7.284
AFG,1962,7.292
AFG,1963,7.302
AFG,1964,7.304
AFG,1965,7.305
AFG,1966,7.32
AFG,1967,7.339
AFG,1968,7.363
AFG,1969,7.389
AFG,1970,7.4
AFG,1971,7.432
AFG,1972,7.453
AFG,1973,7.487
AFG,1974,7.526
AFG,1975,7.542
AFG,1976,7.561
AFG,1977,7.591
AFG,1978,7.599
AFG,1979,7.612
AFG,1980,7.643
AFG,1981,7.617
AFG,1982,7.6
AFG,1983,7.57
AFG,1984,7.554
AFG,1985,7.55
AFG,1986,7.553
AFG,1987,7.548
AFG,1988,7.551
AFG,1989,7.559
AFG,1990,7.576
AFG,1991,7.631
AFG,1992,7.703
AFG,1993,7.761
AFG,1994,7.767
AFG,1995,7.767
AFG,1996,7.757
AFG,1997,7.732
AFG,1998,7.693
AFG,1999,7.641
AFG,2000,7.566
AFG,2001,7.453
AFG,2002,7.32
AFG,2003,7.174
AFG,2004,7.018
AFG,2005,6.858
AFG,2006,6.686
AFG,2007,6.508
AFG,2008,6.392
AFG,2009,6.295
AFG,2010,6.195
AFG,2011,6.094
AFG,2012,5.985
AFG,2013,5.879
AFG,2014,5.77
AFG,2015,5.652
AFG,2016,5.542
AFG,2017,5.433
AFG,2018,5.327
AFG,2019,5.238
AFG,2020,5.145
AFG,2021,5.039
AFG,2022,4.932
AFG,2023,4.84
,1950,6.516
,1951,6.53
,1952,6.541
,1953,6.558
,1954,6.569
,1955,6.581
,1956,6.594
,1957,6.606
,1958,6.617
,1959,6.631
,1960,6.645
,1961,6.658
,1962,6.673
,1963,6.679
,1964,6.68
,1965,6.676
,1966,6.687
,1967,6.691
,1968,6.691
,1969,6.687
,1970,6.688
,1971,6.692
,1972,6.693
,1973,6.689
,1974,6.688
,1975,6.686
,1976,6.676
,1977,6.663
,1978,6.647
,1979,6.62
,1980,6.589
,1981,6.548
,1982,6.509
,1983,6.46
,1984,6.394
,1985,6.322
,1986,6.244
,1987,6.169
,1988,6.092
,1989,6.004
,1990,5.909
,1991,5.827
,1992,5.747
,1993,5.663
,1994,5.589
,1995,5.508
,1996,5.429
,1997,5.353
,1998,5.296
,1999,5.248
,2000,5.203
,2001,5.16
,2002,5.115
,2003,5.082
,2004,5.059
,2005,5.04
,2006,5.013
,2007,4.985
,2008,4.968
,2009,4.927
,2010,4.891
,2011,4.842
,2012,4.796
,2013,4.74
,2014,4.686
,2015,4.625
,2016,4.545
,2017,4.482
,2018,4.391
,2019,4.312
,2020,4.242
,2021,4.179
,2022,4.125
,2023,4.072
ALB,1950,6.169
ALB,1951,6.198
ALB,1952,6.239
ALB,1953,6.341
ALB,1954,6.432
ALB,1955,6.541
ALB,1956,6.437
ALB,1957,6.334
ALB,1958,6.391
ALB,1959,6.397
ALB,1960,6.383
ALB,1961,6.273
ALB,1962,6.106
ALB,1963,5.927
ALB,1964,5.714
ALB,1965,5.474
ALB,1966,5.325
ALB,1967,5.31
ALB,1968,5.317
ALB,1969,5.287
ALB,1970,5.158
ALB,1971,5.083
ALB,1972,4.979
ALB,1973,4.829
ALB,1974,4.7
ALB,1975,4.566
ALB,1976,4.374
ALB,1977,4.204
ALB,1978,3.996
ALB,1979,3.782
ALB,1980,3.59
ALB,1981,3.468
ALB,1982,3.416
ALB,1983,3.319
ALB,1984,3.282
ALB,1985,3.214
ALB,1986,3.141
ALB,1987,3.106
